"ConcaveL"	"LinearL"	"ConvexL"	"ConcaveH"	"LinearH"	"ConvexH"
1.60042996453582	1.60034216461444	1.60069801217632	1.59998158859031	1.59853968212511	1.59710889038658
1.59987020652855	1.59981755094612	1.59948747949052	1.59702849894079	1.60286678480895	1.60173635276219
1.60022010203716	1.59990703592615	1.60041544837341	1.59872178879787	1.5970446330841	1.59874183139326
1.60030162695811	1.60054022750258	1.59932775163187	1.59876885543915	1.60091735809396	1.59790775044448
1.60075179272413	1.60016969340314	1.59979006293874	1.60331804906029	1.60209672970845	1.59688509520875
1.59996469729754	1.59975582209769	1.59952969583685	1.59801289204126	1.60144918847464	1.60213760680449
1.60050100791005	1.60037932843724	1.60029458429768	1.60171236759612	1.59977296148447	1.60044987352492
1.59973794076331	1.60048784894963	1.60017523551094	1.6032024270571	1.59629671888732	1.6035153103865
1.60125148539009	1.59984300000914	1.60005441862415	1.60434604222284	1.59959902549993	1.60132829511186
1.59953181719724	1.60002857680837	1.59954269651193	1.59579976976566	1.60268556379311	1.59644239330597
1.60026462805666	1.60024342241748	1.59974275131606	1.59862994470916	1.60046522568059	1.59934286374101
1.60011325575688	1.60010088657525	1.59984155967956	1.59836657404544	1.60256958082267	1.60131790469371
1.59933934636594	1.59993084545412	1.59925815085091	1.59992233414935	1.60448687046236	1.60721639498812
1.60075990868761	1.60039878036196	1.60026662664055	1.60275834779795	1.60412761335473	1.60311381816132
1.60060402658775	1.60006492402929	1.59935034682291	1.59733515213682	1.59842517078841	1.60501325402377
1.5999258784381	1.59987856970446	1.59947919675417	1.59976935331812	1.60135451561054	1.597868345956
1.59981882713777	1.60004251128363	1.59835324468537	1.60128555410985	1.60144123654159	1.59864063956712
1.59972384118788	1.60013228573712	1.59957435215738	1.6001542112267	1.60348153264752	1.59845710147564
1.59960220461399	1.59979592614873	1.59983338481899	1.59805100214881	1.598056113955	1.59907381918541
1.59922588670354	1.60015996072105	1.60015265714106	1.59998745752964	1.59828900152858	1.6010622176141
